Resource	CBO	CC	CE	CF	DOIH	LCOM2	LOC	NOA	NOAM	NOC	NOCC	NOM	NOO	NOOM	PF	RFC	WOC
SmartHomeRiSE_Release06_OO.rise.smarthome.gui.HardwareControlTab	17	3	18		5	11	147	8	0	1	0	8	0	0		484	0
SmartHomeRiSE_Release06_OO.rise.smarthome.gui.Main	26	57	28		6	65	302	3	4	1	0	7	4	0		492	100
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices	3	6	2		3	53	178	3	4	11	10	12	9	3		29	
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.Actuator	1	1	1		2	0	21	1	4	1	5	5	4	0		27	75
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.AirConditioner	0	1	0		3		9	0	0	1	0	1	1	1		25	100
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.Alarm	0	1	0		3		9	0	0	1	0	1	1	1		25	100
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.AutomaticDoor	0	1	0		3		9	0	0	1	0	1	1	1		25	100
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.AutomaticWindow	0	1	0		3		9	0	0	1	0	1	1	1		25	100
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.Hardware	0	6	0		1	53	60	3		1	10	12	9	3		20	56
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.Led	0	1	0		3		9	0	0	1	0	1	1	1		25	100
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.LightSensor	1	1	1		3		9	0	0	1	0	1	1	1		26	1
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.PresenceSensor	0	1	0		3		10	0	0	1	0	1	1	1		25	1
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.Sensor	3	3	2		2		24	0	3	1	3	4	4	1		29	133
SmartHomeRiSE_Release06_OO.rise.smarthome.model.devices.TemperatureSensor	1	1	1		3		9	0	0	1	0	1	1	1		26	1
SmartHomeRiSE_Release06_OO.rise.smarthome.model.home	26	24	27		1	77	349	4		2	0	30	26	1		95	
SmartHomeRiSE_Release06_OO.rise.smarthome.model.home.AutomatedFeaturesRunnable	4	4	4		1	0	27	1		1	0	4	3	1		16	67
SmartHomeRiSE_Release06_OO.rise.smarthome.model.home.HouseFacade	26	24	25		1	77	322	4		1	0	30	26	0		95	200
SmartHomeRiSE_Release06_OO.rise.smarthome.util	2	3	2		1	50	25	1		2	0	2	2	0		15	
SmartHomeRiSE_Release06_OO.rise.smarthome.util.ListUtils	0	3	0		1		18	0		1	0	2	2	0		13	100
SmartHomeRiSE_Release06_OO.rise.smarthome.util.Utils	2	1	2		1	50	7	1		1	0	2	1	0		15	100
